Image Name,Dominant Colors
678bef0d2b062e33e2ae8a92.png,"#fcfcfc (4.5%), #302624 (2.6%), #2f2e2f (73.5%), #3e3430 (2.2%), #493c36 (10.2%)"
678bef0d2b062e33e2ae8a93.png,"#e9e6e6 (84.8%), #352b29 (2.8%), #493b38 (4.2%), #4d3f39 (2.1%)"
678bef0d2b062e33e2ae8a94.png,"#e7e3dd (46.6%), #343332 (3.6%), #e3d4ab (38.2%), #372b25 (3.1%), #40322b (4.3%)"
678bef0d2b062e33e2ae8a95.png,"#d13735 (40.0%), #3c302a (11.0%), #dac7a0 (43.2%), #edeae6 (3.3%)"
678bef0d2b062e33e2ae8a96.png,"#079255 (41.7%), #3a2f2d (5.1%), #413632 (2.6%), #dcdae0 (44.9%)"
678bef0d2b062e33e2ae8a97.png,"#362c2a (8.4%), #2b2b2b (32.9%), #dbd9dd (53.2%)"
678bef0d2b062e33e2ae8a98.png,"#dfd1a5 (67.4%), #c9c4bd (2.7%), #212121 (4.0%), #352923 (3.7%), #41322b (11.8%)"
678bef0d2b062e33e2ae8a99.png,"#372d2a (8.1%), #dedcdf (91.2%)"
678bef0d2b062e33e2ae8a9c.png,"#26252b (39.7%), #535769 (3.8%), #d3d2d7 (45.3%)"
678bef0d2b062e33e2ae8aa0.png,"#725741 (2.5%), #cdc6b5 (93.4%)"
678bef0d2b062e33e2ae8aa2.png,"#874230 (5.0%), #fafbfa (4.6%), #1a3537 (11.0%), #2b2b2d (6.1%), #2a2b37 (8.5%), #2c2c32 (54.2%)"
678bef0d2b062e33e2ae8aa3.png,"#d7cc35 (6.9%), #924036 (11.0%), #2d2a29 (2.0%), #a2bbd8 (2.2%), #e6e1d6 (70.3%)"
678bef0d2b062e33e2ae8aa4.png,"#3a3a38 (2.8%), #a2a39c (96.5%)"
678bef0d2b062e33e2ae8ab3.png,#969696 (95.8%)
678bef0d2b062e33e2ae8ab8.png,"#dbdbda (27.0%), #3a3838 (21.8%), #51504b (47.1%)"
678bef0d2b062e33e2ae8abb.png,"#343144 (5.4%), #615760 (4.0%), #373744 (28.7%), #cbc9c6 (46.5%), #454148 (6.7%)"
678bef0d2b062e33e2ae8abc.png,"#313031 (3.5%), #323036 (13.7%), #625863 (3.6%), #bdbab9 (76.2%)"
678bef0d2b062e33e2ae8ac0.png,"#3f3e3d (3.6%), #cdc7b3 (94.0%)"
